GDP,Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Debtor,Gender,Scholarship holder,Educational special needs,Tuition fees up to date,Target
1,0.25,0.664102564,0.192307692,0.635761589,1,0,0.056603774,0,0,1
0.5,0.3,0.738589744,0.230769231,0.685209713,1,0,0.037735849,0,1,0
0.5,0.25,0.569230769,0.192307692,0.628192999,1,0,0.075471698,0,1,0
1,0.2,0.721538462,0.230769231,0.6799117,1,0,0.056603774,0,1,1
0.5,0.1,0.726923077,0.115384615,0.600441501,0,0,0.018867925,0,1,0
1,0.3,0.774038462,0.230769231,0.671081678,1,0,0.037735849,0,0,1
1,0.25,0.723076923,0.192307692,0.656953642,1,0,0.320754717,0,1,1
0,0.05,0.538461539,0,0,0,0,0.377358491,1,1,0
0,0,0,0,0,1,0,0.490566038,0,1,0
0,0.1,0.646153846,0.038461538,0.529801325,1,0,0.716981132,0,0,0
1,0.25,0.624615385,0.192307692,0.582781457,1,0,0.41509434,0,0,1
0,0.15,0.646153846,0.115384615,0.618101545,0,0,0.056603774,1,0,0
0,0,0,0.153846154,0.675496689,1,0,0.018867925,1,0,0
1,0.25,0.850769231,0.192307692,0.78410596,1,0,0.094339623,0,0,1
1,0.35,0.772307692,0.192307692,0.737907285,1,0,0.094339623,0,0,1
0,0.25,0.743076923,0.153846154,0.688741722,0,0,0.056603774,0,0,0
0,0,0,0,0,1,0,0.226415094,0,0,0
0.5,0.15,0.771794872,0.076923077,0.609271523,1,0,0.132075472,0,0,0
1,0.25,0.710769231,0.230769231,0.618101545,1,0,0.018867925,0,0,1
1,0.35,0.741538462,0.230769231,0.71611479,1,1,0.094339623,0,0,1
1,0.3,0.715384616,0.230769231,0.609271523,1,1,0.075471698,0,0,1
1,0.3,0.691025641,0.192307692,0.653421633,1,1,0.037735849,0,0,1
1,0.3,0.762820513,0.230769231,0.72406181,1,1,0.132075472,0,0,1
0.5,0.3,0.637179487,0.230769231,0.626931567,1,1,0.037735849,0,0,0
0.5,0.15,0.592307692,0.153846154,0.741721854,1,1,0.056603774,0,0,0
1,0.25,0.850769231,0.192307692,0.779564806,1,0,0.037735849,0,0,1
0,0.25,0.592307692,0.192307692,0.561589404,1,0,0.188679245,0,0,0
1,0.4,0.732038462,0.269230769,0.691096394,1,0,0.018867925,0,0,1
0,0,0,0,0,1,0,0.41509434,0,0,0
0,0.5,0.694615385,0.192307692,0.688741722,1,0,0.188679245,0,0,0
1,0.4,0.804192308,0.307692308,0.791258278,1,0,0.018867925,0,0,1
0.5,0,0,0,0,1,0,0.018867925,0,0,0
1,0.35,0.658076923,0.230769231,0.695805739,1,0,0.018867925,0,0,1
1,0.3,0.646153846,0.230769231,0.635761589,1,1,0.075471698,0,0,1
0.5,0,0,0,0,1,1,0.037735849,0,1,0
0.5,0.05,0.538461539,0.192307692,0.60397351,1,0,0.037735849,0,1,0
0.5,0,0,0,0,1,0,0.132075472,0,1,0
0,0.25,0.592307692,0.192307692,0.630463576,1,0,0.226415094,0,1,0
1,0,0,0,0,1,1,0.037735849,0,1,1
1,0.3,0.669230769,0.230769231,0.666035951,1,0,0.113207547,0,1,1
0,0.2,0.578846154,0.192307692,0.593377483,1,0,0.037735849,1,1,0
0.5,0.25,0.581538462,0.230769231,0.635761589,1,0,0.169811321,0,1,0
0.5,0,0,0,0,1,0,0.018867925,0,1,0
1,0.4,0.740384615,0.269230769,0.634437086,1,0,0.132075472,0,1,1
0,0,0,0,0,1,0,0.037735849,0,1,0
0,0.05,0.646153846,0.115384615,0.618101545,1,0,0.018867925,0,1,0
1,0.15,0.664102564,0.230769231,0.653421633,1,0,0.018867925,0,1,1
0,0.15,0.584615385,0.115384615,0.547461368,1,0,0.018867925,1,1,0
0,0.05,0.592307692,0.153846154,0.556291391,1,1,0.075471698,0,1,0
1,0.3,0.717948718,0.230769231,0.72406181,1,1,0.037735849,1,1,1
1,0.4,0.810683761,0.269230769,0.786376537,1,1,0.094339623,0,1,1
1,0.3,0.628205128,0.230769231,0.635761589,1,0,0.301886792,0,1,1
0,0.25,0.656923077,0.192307692,0.646357616,1,0,0.056603774,0,1,0
0,0,0,0,0,1,0,0.339622642,0,1,0
0,0.5,0.716153846,0.230769231,0.644591612,1,0,0.132075472,1,1,0
0.5,0.15,0.61025641,0.192307692,0.635761589,1,0,0.018867925,0,1,0
1,0.25,0.592307692,0.230769231,0.582781457,1,0,0.301886792,0,0,1
1,0.35,0.704307692,0.269230769,0.692980132,1,1,0.094339623,0,0,1
1,0.25,0.624615385,0.153846154,0.556291391,1,1,0.150943396,0,0,1
1,0.25,0.603076923,0.230769231,0.565121413,1,0,0.056603774,0,1,1
0.5,0.25,0.743076923,0.153846154,0.741721854,1,0,0.113207547,0,1,0
0.5,0,0,0.076923077,0.529801325,1,0,0.018867925,1,1,0
0,0,0,0,0,1,0,0.132075472,0,1,0
1,0.3,0.726923077,0.230769231,0.741721854,0,0,0.075471698,0,0,1
0,0,0,0.076923077,0.635761589,1,0,0.169811321,0,0,0
0,0,0,0.115384615,0.671081678,1,0,0.41509434,0,0,0
1,0.3,0.664102564,0.307692308,0.629139073,1,0,0.509433962,0,0,1
0.5,0.15,0.713461539,0.192307692,0.741721854,1,0,0.037735849,0,1,0
1,0.3,0.717948718,0.230769231,0.72406181,1,0,0.018867925,0,0,1
1,0.4,0.77957265,0.269230769,0.728476821,1,1,0.018867925,0,0,1
0.5,0.25,0.743076923,0.192307692,0.752317881,1,0,0.037735849,0,0,0
0,0,0,0.153846154,0.633642384,0,0,0.037735849,1,0,0
0,0.25,0.721538462,0.307692308,0.682119205,1,0,0.075471698,0,0,0
1,0,0,0,0,1,0,0.056603774,0,0,1
0,0,0,0,0,1,0,0.358490566,0,0,0
1,0.65,0.766272189,0.692307692,0.775182991,1,0,0.490566038,0,0,1
0,0,0,0,0,1,0,0.037735849,0,0,0
1,0.55,0.660839161,0.384615385,0.688741722,1,0,0.056603774,1,0,1
0,0,0,0,0,1,0,0.037735849,0,0,0
0,0.2,0.713461539,0.153846154,0.752317881,1,0,0.056603774,0,0,0
0,0.25,0.662307692,0.230769231,0.702869757,1,0,0.056603774,0,0,0
0.5,0.15,0.7,0.230769231,0.618101545,1,0,0.056603774,0,0,0
1,0.3,0.807692308,0.230769231,0.734153264,1,0,0.018867925,0,0,1
0.5,0.15,0.592307692,0.115384615,0.688741722,1,1,0.018867925,0,0,0
1,0.25,0.689230769,0.192307692,0.709933775,1,0,0.037735849,0,0,1
1,0.3,0.676923077,0.230769231,0.671081678,1,0,0.018867925,0,0,1
0,0.3,0.673974359,0.230769231,0.663134658,1,0,0.018867925,0,0,0
0.5,0.35,0.7,0.230769231,0.615452539,1,0,0.056603774,0,0,0
0.5,0.2,0.578846154,0.076923077,0.529801325,1,1,0.056603774,0,0,0
0.5,0.15,0.574358975,0.115384615,0.547461368,1,0,0.056603774,0,0,0
1,0.25,0.613846154,0.192307692,0.696310312,1,0,0.018867925,0,0,1
1,0.25,0.753846154,0.192307692,0.667549669,1,0,0.018867925,0,0,1
0,0.1,0.592307692,0.115384615,0.582781457,1,0,0.075471698,0,0,0
1,0.2,0.605769231,0.192307692,0.57218543,1,0,0.037735849,0,0,1
0,0,0,0,0,1,0,0.037735849,0,0,0
1,0.25,0.764615385,0.192307692,0.678145695,1,1,0.037735849,0,0,1
1,0.3,0.656923077,0.230769231,0.750551877,1,0,0.037735849,0,0,1
0,0,0,0.192307692,0.641059603,1,0,0.037735849,0,0,0
1,0.25,0.741880342,0.230769231,0.750551877,1,0,0.056603774,0,0,1
0.5,0.25,0.721538462,0.192307692,0.678145695,1,1,0.018867925,0,0,0
1,0.3,0.735897436,0.230769231,0.688741722,1,0,0.018867925,0,0,1
1,0.4,0.808290598,0.269230769,0.713491012,1,0,0.037735849,0,0,1
0,0.35,0.74,0.269230769,0.701324503,1,1,0.018867925,0,0,0
1,0.3,0.7,0.230769231,0.653421633,1,0,0.018867925,0,0,1
1,0.25,0.786153846,0.192307692,0.656953642,1,0,0.037735849,0,0,1
0,0,0,0.192307692,0.741721854,1,0,0.037735849,0,0,0
1,0.35,0.630769231,0.346153846,0.618101545,1,0,0.056603774,0,0,1
0,0.2,0.673076923,0.192307692,0.635761589,0,1,0.037735849,1,0,0
1,0.2,0.619230769,0.153846154,0.646357616,1,0,0.056603774,0,0,1
1,0.3,0.798717949,0.230769231,0.785871965,1,1,0.018867925,1,0,1
0.5,0.35,0.694230769,0.192307692,0.698701987,1,1,0.056603774,0,0,0
1,0.4,0.947019231,0.269230769,0.907284768,1,0,0.018867925,0,0,1
1,0.3,0.682051282,0.230769231,0.671081678,1,0,0.037735849,0,0,1
1,0.25,0.646153846,0.230769231,0.671081678,1,1,0.037735849,0,0,1
0.5,0,0,0,0,0,0,0.094339623,1,0,0
1,0.3,0.619230769,0.230769231,0.600441501,1,1,0.037735849,0,0,1
1,0.4,0.663990385,0.269230769,0.720794702,1,1,0.037735849,0,0,1
1,0.25,0.581538462,0.192307692,0.635761589,1,1,0.037735849,0,0,1
0,0,0,0,0,1,0,0.037735849,0,0,0
0,0.15,0.628205128,0.192307692,0.593377483,1,0,0.056603774,0,0,0
1,0.25,0.762820513,0.192307692,0.708609272,1,0,0.018867925,0,0,1
1,0.35,0.763461539,0.230769231,0.734481236,1,1,0.056603774,0,0,1
0.5,0,0,0,0,1,0,0.018867925,0,0,0
1,0.25,0.721538462,0.192307692,0.656953642,1,0,0.037735849,0,0,1
0.5,0.25,0.583333333,0.115384615,0.653421633,1,0,0.018867925,0,0,0
1,0.25,0.635384615,0.230769231,0.706401766,1,0,0.018867925,0,0,1
0,0.15,0.538461539,0.115384615,0.671081678,1,0,0.075471698,0,0,0
0,0.2,0.619230769,0.230769231,0.635761589,1,0,0.037735849,0,0,0
1,0.25,0.635384615,0.192307692,0.561589404,1,1,0.018867925,0,0,1
1,0.3,0.638461539,0.230769231,0.649006623,1,1,0.018867925,0,0,1
1,0.3,0.637179487,0.153846154,0.582781457,1,0,0.056603774,0,0,1
1,0.25,0.678461539,0.192307692,0.582781457,1,1,0.132075472,0,0,1
0,0.3,0.7,0.230769231,0.697571744,1,0,0.037735849,0,0,0
1,0.35,0.687136752,0.269230769,0.681089036,1,1,0.018867925,0,0,1
1,0.4,0.826807692,0.269230769,0.790397351,1,0,0.018867925,0,0,1
0,0.15,0.592307692,0.153846154,0.609271523,1,0,0.075471698,0,0,0
1,0.25,0.764615385,0.192307692,0.752317881,1,0,0.037735849,0,0,1
1,0.3,0.7,0.230769231,0.662251656,1,1,0.037735849,0,0,1
0.5,0,0,0,0,1,0,0.566037736,1,0,0
1,0.2,0.592307692,0.192307692,0.618101545,1,0,0.037735849,0,0,1
1,0.35,0.767692308,0.269230769,0.755345317,1,0,0.226415094,0,0,1
0,0.1,0.61025641,0.115384615,0.635761589,1,0,0.075471698,0,0,0
0.5,0.2,0.565384615,0.153846154,0.59602649,1,0,0.20754717,0,0,0
1,0.4,0.730288462,0.269230769,0.659981079,1,0,0.056603774,0,0,1
1,0.3,0.629102564,0.230769231,0.618984547,1,0,0.037735849,0,0,1
1,0.25,0.646153846,0.115384615,0.618101545,1,0,0.169811321,0,0,1
0,0.3,0.708974359,0.153846154,0.622516556,0,0,0.056603774,1,0,0
0.5,0.2,0.726923077,0.115384615,0.618101545,1,1,0.018867925,0,0,0
1,0.25,0.646153846,0.192307692,0.699337748,1,0,0.188679245,0,0,1
0,0.2,0.643461539,0.153846154,0.633112583,1,0,0.056603774,0,0,0
0,0.25,0.56,0.192307692,0.656953642,1,0,0.018867925,0,0,0
0,0.3,0.78525641,0.230769231,0.760264901,1,0,0.301886792,0,0,0
1,0.95,0.688663967,0.807692308,0.668558814,1,0,0.339622642,0,0,1
0.5,0.3,0.708974359,0.230769231,0.671081678,1,1,0.169811321,0,0,0
0,0,0,0.192307692,0.635761589,0,0,0.188679245,1,0,0
0,0,0,0.230769231,0.644591612,0,0,0.037735849,0,0,0
0,0,0,0,0,1,0,0.056603774,0,0,0
0,0.15,0.569230769,0.115384615,0.529801325,0,0,0.056603774,1,0,0
0.5,0.2,0.538461539,0.307692308,0.609271523,0,0,0.075471698,1,0,0
1,0.3,0.702692308,0.230769231,0.691390728,1,1,0.018867925,0,0,1
0,0,0,0.076923077,0.582781457,1,0,0.132075472,0,0,0
1,0.3,0.646153846,0.230769231,0.609271523,1,0,0.056603774,0,0,1
1,0.3,0.673076923,0.230769231,0.635761589,1,1,0.075471698,0,0,1
0.5,0.05,0.538461539,0.076923077,0.529801325,1,0,0.113207547,0,0,0
0,0,0,0,0,1,0,0.132075472,0,0,0
0,0,0,0,0,1,0,0.075471698,0,0,0
1,0.35,0.659230769,0.269230769,0.648628193,1,0,0.018867925,0,0,1
0,0,0,0,0,1,0,0.188679245,0,0,0
1,0.4,0.696432692,0.307692308,0.685231788,1,0,0.018867925,0,0,1
0,0,0,0,0,1,0,0.339622642,0,0,0
1,0.35,0.776923077,0.269230769,0.666035951,1,0,0.018867925,0,0,1
0.5,0.15,0.61025641,0.115384615,0.626048565,1,0,0.339622642,0,0,0
1,0.2,0.771794872,0.153846154,0.728476821,1,0,0.037735849,0,0,1
1,0.3,0.61025641,0.230769231,0.591611479,1,0,0.056603774,0,0,1
1,0.35,0.663615384,0.269230769,0.652942289,1,0,0.018867925,0,0,1
1,0.3,0.630769231,0.230769231,0.644591612,1,0,0.075471698,1,0,1
1,0.2,0.605769231,0.192307692,0.590350047,1,1,0.018867925,0,0,1
1,0.2,0.578846154,0.153846154,0.582781457,1,0,0.018867925,0,0,1
1,0.35,0.695384615,0.269230769,0.684200567,1,0,0.018867925,0,0,1
1,0.3,0.762820513,0.230769231,0.732891832,1,1,0.018867925,0,0,1
1,0.25,0.721538462,0.230769231,0.734153264,1,0,0.037735849,0,0,1
0,0.25,0.689230769,0.230769231,0.726584673,1,1,0.358490566,0,0,0
1,0.35,0.680769231,0.269230769,0.669820246,1,1,0.018867925,0,0,1
1,0.3,0.695512821,0.230769231,0.684326711,1,1,0.018867925,0,0,1
1,0.3,0.853846154,0.230769231,0.82781457,1,1,0.056603774,0,0,1
0,0,0,0,0,1,1,0.169811321,0,0,0
1,0.3,0.646153846,0.230769231,0.620624408,1,0,0.075471698,0,0,1
0.5,0.4,0.716826923,0.230769231,0.642384106,1,0,0.150943396,0,0,0
1,0.25,0.624615385,0.192307692,0.614569536,1,1,0.037735849,0,0,1
0,0,0,0.038461538,0.529801325,1,0,0.132075472,0,0,0
0,0,0,0.038461538,0.529801325,1,1,0.188679245,0,0,0
0,0.1,0.726923077,0,0,1,0,0.075471698,0,0,0
1,0.15,0.664102564,0.153846154,0.688741722,1,1,0.018867925,0,0,1
1,0.3,0.780769231,0.230769231,0.706401766,1,1,0.037735849,0,0,1
0,0.1,0.673076923,0.153846154,0.59602649,1,0,0.018867925,0,0,0
1,0.35,0.656538461,0.192307692,0.733774834,1,1,0.037735849,0,0,1
1,0.35,0.802980769,0.230769231,0.72803532,1,1,0.037735849,0,0,1
1,0.25,0.850769231,0.230769231,0.812362031,1,0,0.301886792,0,0,1
1,0.25,0.743076923,0.192307692,0.582781457,1,0,0.528301887,0,0,1
1,0.3,0.692307693,0.230769231,0.635761589,1,1,0.056603774,0,0,1
0,0,0,0,0,1,0,0.20754717,0,0,0
1,0.35,0.623076923,0.269230769,0.613055818,1,1,0.037735849,0,0,1
1,0.15,0.682051282,0.230769231,0.681173132,1,0,0.018867925,0,0,1
0,0,0,0,0,1,0,0.396226415,0,0,0
1,0.25,0.710769231,0.192307692,0.688741722,1,0,0.037735849,0,0,1
1,0.25,0.646153846,0.192307692,0.582781457,1,1,0.075471698,0,0,1
0,0.05,0.807692308,0.115384615,0.635761589,1,0,0.075471698,0,0,0
1,0.3,0.7,0.192307692,0.667549669,1,1,0.094339623,0,0,1
1,0.3,0.708974359,0.192307692,0.709933775,1,1,0.018867925,0,0,1
1,0.3,0.623076923,0.230769231,0.600441501,1,1,0.018867925,0,0,1
0,0.2,0.767307692,0.153846154,0.715231788,0,0,0.150943396,0,0,0
0,0.15,0.556410256,0.115384615,0.622516556,0,0,0.132075472,1,0,0
0.5,0.35,0.617211539,0.230769231,0.660737937,1,0,0.037735849,0,0,0
0.5,0.45,0.72991453,0.423076923,0.683925346,1,0,0.132075472,0,0,0
1,0.25,0.732307692,0.192307692,0.614569536,1,1,0.056603774,0,0,1
0,0,0,0,0,0,0,0.150943396,0,0,0
1,0.5,0.665734266,0.346153846,0.683443709,1,1,0.056603774,0,0,1
1,0.4,0.711846154,0.307692308,0.700397351,1,0,0.113207547,0,0,1
1,0.35,0.708153846,0.269230769,0.696764428,1,1,0.037735849,0,0,1
0,0.15,0.61025641,0.115384615,0.675496689,0,0,0.226415094,1,0,0
1,0.2,0.659615385,0.230769231,0.600441501,1,0,0.075471698,0,0,1
1,0.25,0.761538461,0.230769231,0.701986755,1,1,0.018867925,0,0,1
0.5,0.25,0.667692308,0.192307692,0.656953642,1,0,0.037735849,0,0,0
0,0.3,0.691025641,0.230769231,0.794701987,1,1,0.018867925,0,0,0
1,0.25,0.7,0.192307692,0.762913907,1,0,0.037735849,0,0,1
0.5,0,0,0.038461538,0.582781457,1,0,0.018867925,0,0,0
1,0.25,0.581538462,0.192307692,0.656953642,1,0,0.018867925,0,0,1
0,0,0,0.038461538,0.847682119,0,1,0.377358491,1,0,0
1,0.25,0.664102564,0.192307692,0.719016083,1,0,0.226415094,0,0,1
0.5,0.3,0.673076923,0.230769231,0.626931567,1,0,0.018867925,0,0,0
1,0.25,0.682051282,0.192307692,0.618101545,1,1,0.037735849,0,0,1
0,0.1,0.7,0.230769231,0.626931567,0,0,0.094339623,1,0,0
1,0.25,0.570769231,0.230769231,0.591611479,1,1,0.056603774,0,0,1
0,0,0,0,0,1,0,0.320754717,0,0,0
0,0.3,0.655128205,0.307692308,0.622516556,0,0,0.245283019,1,0,0
1,0.3,0.753846154,0.230769231,0.741721854,1,0,0.018867925,0,0,1
1,0.3,0.646153846,0.230769231,0.6799117,1,0,0.018867925,0,0,1
1,0.15,0.628205128,0.153846154,0.649006623,1,0,0.018867925,0,0,1
1,0.35,0.798461539,0.269230769,0.785619678,1,0,0.018867925,0,0,1
1,0.25,0.689230769,0.192307692,0.60397351,1,1,0.037735849,0,0,1
1,0.3,0.673076923,0.230769231,0.688741722,1,1,0.037735849,0,0,1
1,0.35,0.736153846,0.269230769,0.724314096,1,1,0.018867925,0,0,1
1,0.25,0.689230769,0.230769231,0.671081678,1,1,0.075471698,0,0,1
0,0.05,0.7,0.076923077,0.529801325,0,0,0.056603774,0,0,0
1,0.25,0.664102564,0.192307692,0.715231788,1,0,0.056603774,0,0,1
1,0.4,0.729615385,0.269230769,0.671258278,1,0,0.037735849,0,0,1
1,0.3,0.830769231,0.230769231,0.768211921,1,0,0.056603774,0,0,1
1,0.4,0.828557692,0.269230769,0.725070956,1,0,0.018867925,0,0,1
0,0.15,0.574358975,0.192307692,0.582781457,1,0,0.056603774,0,0,0
0,0.25,0.710769231,0.269230769,0.612214864,0,0,0.226415094,1,0,0
0.5,0.4,0.741730769,0.269230769,0.730974456,1,1,0.018867925,0,0,0
1,0.35,0.743769231,0.269230769,0.74192053,1,1,0.056603774,0,0,1
1,0.2,0.613846154,0.153846154,0.635761589,1,1,0.094339623,0,0,1
1,0.3,0.762820513,0.192307692,0.750551877,1,1,0.566037736,0,0,1
1,0.25,0.743076923,0.192307692,0.741721854,1,0,0.264150943,0,0,1
1,0.3,0.691025641,0.192307692,0.731125828,1,1,0.075471698,0,0,1
1,0.3,0.638461539,0.192307692,0.678145695,1,0,0.075471698,0,0,1
1,0.3,0.744871795,0.230769231,0.644591612,1,0,0.132075472,0,0,1
0.5,0.3,0.664102564,0.230769231,0.662251656,1,0,0.018867925,0,0,0
1,0.2,0.619230769,0.153846154,0.635761589,1,0,0.283018868,0,0,1
1,0.3,0.619230769,0.230769231,0.573951435,1,1,0.037735849,0,0,1
1,0.4,0.720730769,0.307692308,0.709139073,1,0,0.132075472,0,0,1
1,0.3,0.780769231,0.230769231,0.830022075,1,0,0.037735849,0,0,1
1,0.3,0.744871795,0.230769231,0.759381898,1,1,0.037735849,1,0,1
0.5,0.25,0.7,0.230769231,0.605487228,1,0,0.132075472,0,0,0
1,0.3,0.628205128,0.230769231,0.618101545,1,1,0.018867925,0,0,1
0,0.1,0.61025641,0.192307692,0.635761589,1,1,0.037735849,0,0,0
1,0.35,0.792923077,0.269230769,0.780170294,1,1,0.037735849,0,0,1
1,0.3,0.735897436,0.230769231,0.750551877,1,1,0.018867925,0,0,1
1,0.3,0.664102564,0.230769231,0.613055818,1,0,0.018867925,0,0,1
1,0.4,0.707403846,0.269230769,0.662251656,1,0,0.056603774,0,0,1
1,0.4,0.692461539,0.307692308,0.681324503,1,0,0.018867925,0,0,1
1,0.3,0.738461538,0.230769231,0.649006623,1,0,0.018867925,0,0,1
1,0.25,0.656923077,0.153846154,0.635761589,1,1,0.075471698,0,0,1
1,0.4,0.870632479,0.269230769,0.800883002,1,1,0.018867925,0,0,1
0,0.2,0.551923077,0.076923077,0.662251656,0,0,0.018867925,1,0,0
0,0,0,0,0,1,0,0.037735849,0,0,0
0.5,0.2,0.592307692,0.153846154,0.582781457,1,0,0.037735849,0,0,0
1,0.2,0.786153846,0.230769231,0.629139073,1,0,0.018867925,0,0,1
0,0,0,0.038461538,0.582781457,1,0,0.320754717,0,0,0
1,0.25,0.710769231,0.192307692,0.805298013,1,0,0.037735849,0,0,1
0,0.1,0.592307692,0.192307692,0.614569536,0,0,0.037735849,1,0,0
1,0.3,0.815384615,0.230769231,0.785871965,1,0,0.169811321,1,0,1
0,0.15,0.61025641,0.115384615,0.600441501,1,0,0.075471698,0,0,0
1,0.25,0.635384615,0.192307692,0.593377483,1,1,0.018867925,0,0,1
1,0.25,0.735897436,0.192307692,0.709933775,1,1,0.056603774,0,0,1
0,0,0,0.076923077,0.556291391,1,0,0.150943396,0,0,0
1,0.25,0.883076923,0.192307692,0.858278146,1,0,0.018867925,0,0,1
1,0.4,0.801328671,0.269230769,0.770482497,1,1,0.018867925,0,0,1
1,0.4,0.772991453,0.269230769,0.725525071,1,0,0.037735849,0,0,1
1,0.3,0.638461539,0.230769231,0.597918638,1,1,0.018867925,0,0,1
0.5,0.3,0.704487179,0.230769231,0.622894986,1,0,0.056603774,0,0,0
0,0,0,0,0,0,0,0.169811321,1,0,0
1,0.35,0.703153846,0.269230769,0.691844844,1,1,0.037735849,0,0,1
1,0.4,0.756837607,0.269230769,0.757615894,1,0,0.037735849,0,0,1
1,0.4,0.646153846,0.192307692,0.625165563,1,0,0.037735849,0,0,1
0.5,0.15,0.7,0.115384615,0.547461368,1,0,0.037735849,0,0,0
1,0.15,0.628205128,0.230769231,0.560075686,1,0,0.018867925,0,0,1
1,0.3,0.717948718,0.230769231,0.706401766,1,0,0.037735849,0,0,1
1,0.25,0.592307692,0.230769231,0.628192999,1,0,0.018867925,1,0,1
0.5,0.25,0.613846154,0.192307692,0.667549669,1,0,0.018867925,0,0,0
0.5,0.25,0.624615385,0.192307692,0.741721854,1,0,0.018867925,0,0,0
0.5,0.3,0.682051282,0.192307692,0.635761589,1,0,0.018867925,0,0,0
0,0,0,0,0,1,0,0.169811321,1,0,0
1,0.3,0.7,0.230769231,0.635761589,1,0,0.056603774,0,0,1
1,0.3,0.628205128,0.230769231,0.671081678,1,0,0.037735849,0,0,1
1,0.3,0.735897436,0.230769231,0.644591612,1,1,0.018867925,0,0,1
1,0.3,0.78974359,0.230769231,0.706401766,1,0,0.037735849,0,0,1
1,0.35,0.784615385,0.269230769,0.794701987,1,0,0.433962264,1,0,1
1,0.4,0.721067308,0.307692308,0.709470199,1,1,0.018867925,0,0,1
1,0.3,0.669230769,0.192307692,0.644591612,1,0,0.037735849,0,0,1
1,0.2,0.673076923,0.153846154,0.59602649,1,0,0.018867925,0,0,1
0.5,0.15,0.646153846,0.153846154,0.635761589,1,0,0.037735849,0,0,0
0,0,0,0,0,1,0,0.018867925,0,0,0
1,0.3,0.692307693,0.230769231,0.6799117,1,0,0.301886792,0,0,1
1,0.3,0.705384615,0.230769231,0.741721854,1,0,0.339622642,0,0,1
0.5,0.1,0.646153846,0.153846154,0.688741722,1,0,0.169811321,0,0,0
1,0.3,0.673076923,0.230769231,0.715231788,1,0,0.018867925,0,0,1
0.5,0.45,0.662721894,0.5,0.566479878,1,0,0.358490566,0,0,0
1,0.25,0.628205128,0.192307692,0.582781457,1,0,0.41509434,0,0,1
1,0.3,0.744871795,0.230769231,0.688741722,1,0,0.509433962,0,0,1
0.5,0.2,0.605769231,0.192307692,0.635761589,1,0,0.056603774,0,0,0
0,0.2,0.619230769,0.153846154,0.667549669,1,0,0.132075472,0,0,0
1,0.3,0.717948718,0.230769231,0.72406181,1,1,0.056603774,0,0,1
0,0,0,0,0,0,0,0.037735849,0,0,0
1,0.3,0.764615385,0.230769231,0.752317881,1,1,0.018867925,1,0,1
0,0,0,0.192307692,0.582781457,0,0,0.094339623,1,0,0
1,0.3,0.884615385,0.230769231,0.794701987,1,0,0.018867925,0,0,1
1,0.35,0.723846154,0.230769231,0.66679281,1,0,0.132075472,0,0,1
0,0,0,0,0,1,0,0.301886792,0,0,0
0.5,0,0,0,0,1,1,0.245283019,1,0,0
0,0,0,0,0,1,0,0.169811321,0,0,0
